Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
David Pastrnak,BOS,25,RW,70,48,47,38,95,40,21,18:57,15:11,3:45,0:00,2.17,2.125,4.295,1.58,1.636,3.216,4.559,4.103,8.662,0.686,0.671,1.357,279,17.2%,47,22
Connor McDavid,EDM,24,C,64,34,63,43,97,28,-6,21:51,17:52,3:53,0:06,1.458,2.701,4.159,1.206,1.626,2.832,2.653,7.718,10.37,0.531,0.984,1.516,212,16.0%,37,18
Evgeni Malkin,PIT,35,C,55,25,49,24,74,58,7,19:31,15:48,3:41,0:01,1.397,2.738,4.135,1.243,2.209,3.452,2.068,5.022,7.09,0.455,0.891,1.345,171,14.6%,38,22
Leon Draisaitl,EDM,26,C,71,43,67,44,110,18,-7,22:36,17:53,3:50,0:52,1.607,2.504,4.111,1.275,1.842,3.117,3.516,6.154,9.67,0.606,0.944,1.549,218,19.7%,27,19
Artemi Panarin,NYR,30,LW,69,32,63,24,95,20,36,20:36,16:51,3:43,0:01,1.351,2.659,4.009,1.29,2.374,3.664,1.631,3.96,5.591,0.464,0.913,1.377,209,15.3%,25,18
Nikita Kucherov,TBL,26,RW,68,33,52,25,85,38,26,18:51,15:17,3:33,0:00,1.544,2.433,3.977,1.673,1.788,3.461,0.992,5.208,6.2,0.485,0.765,1.25,210,15.7%,37,19
Brad Marchand,BOS,33,LW,70,28,59,28,87,82,25,19:27,14:10,3:41,1:34,1.234,2.6,3.834,1.33,2.055,3.384,1.161,5.341,6.502,0.4,0.843,1.243,185,15.1%,55,19
Nathan MacKinnon,COL,26,C,69,35,58,31,93,12,13,21:14,17:03,4:07,0:04,1.432,2.374,3.806,1.173,1.989,3.161,2.532,4.009,6.541,0.507,0.841,1.348,318,11.0%,51,31
Steven Stamkos,TBL,31,C,57,29,37,19,66,22,14,18:25,14:37,3:17,0:30,1.657,2.114,3.772,1.368,2.016,3.384,3.204,2.883,6.087,0.509,0.649,1.158,176,16.5%,69,38
Mika Zibanejad,NYR,28,C,57,41,34,27,75,14,9,21:37,15:20,3:40,2:37,1.995,1.655,3.65,1.579,1.373,2.951,4.302,3.442,7.744,0.719,0.596,1.316,208,19.7%,51,49
