Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor McDavid,EDM,24,C,56,33,72,37,105,20,21,22:09,17:51,4:11,0:06,1.596,3.482,5.078,1.44,2.64,4.079,2.301,7.158,9.458,0.589,1.286,1.875,200,16.5%,61,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artemi Panarin,NYR,30,LW,42,17,41,18,58,6,14,19:38,15:38,3:59,0:00,1.236,2.982,4.218,1.097,2.559,3.655,1.789,4.65,6.439,0.405,0.976,1.381,106,16.0%,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Marchand,BOS,33,LW,53,29,40,18,69,46,26,18:54,14:05,3:13,1:36,1.736,2.395,4.131,1.688,1.849,3.537,1.404,4.914,6.318,0.547,0.755,1.302,143,20.3%,66,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leon Draisaitl,EDM,26,C/LW,56,31,53,32,84,22,29,22:11,17:21,4:13,0:36,1.497,2.559,4.056,0.926,2.222,3.148,3.797,4.304,8.101,0.554,0.946,1.5,168,18.5%,37,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan MacKinnon,COL,26,C,48,20,45,25,65,37,22,20:22,16:12,4:07,0:02,1.227,2.761,3.988,0.925,2.159,3.084,2.426,5.156,7.583,0.417,0.938,1.354,206,9.7%,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikko Rantanen,COL,25,C/RW,52,30,36,24,66,34,30,19:55,15:52,4:01,0:01,1.738,2.085,3.823,1.526,1.526,3.052,2.583,4.305,6.888,0.577,0.692,1.269,177,17.0%,26,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Huberdeau,FLA,28,LW,55,20,41,24,61,36,12,18:24,14:04,4:18,0:01,1.185,2.429,3.615,1.162,1.705,2.867,1.264,4.805,6.069,0.364,0.745,1.109,122,16.4%,51,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Pacioretty,VGK,33,LW,48,24,27,12,51,14,20,17:56,15:02,2:50,0:03,1.672,1.881,3.554,1.495,1.744,3.239,2.641,2.641,5.282,0.5,0.563,1.063,174,13.8%,33,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auston Matthews,TOR,24,C,52,41,25,13,66,10,21,21:33,18:09,3:13,0:09,2.195,1.338,3.533,1.97,1.398,3.368,3.57,1.071,4.641,0.788,0.481,1.269,222,18.5%,57,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Stone,VGK,28,RW,55,21,40,17,61,28,26,19:03,14:44,2:58,1:20,1.202,2.289,3.491,1.036,2.147,3.183,2.199,4.032,6.231,0.382,0.727,1.109,98,21.4%,31,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
