Auston Matthews,TOR,C,55,44,32,76,12,10,248,6,13,10,0,0,46,42
Chris Kreider,NYR,LW,58,38,15,53,12,20,188,6,19,6,2,0,108,27
Leon Draisaitl,EDM,C,58,38,41,79,14,36,192,10,17,14,1,0,36,15
Kyle Connor,WPG,LW,59,36,30,66,-6,4,258,7,6,15,2,0,29,15
Alex Ovechkin,WAS,LW,58,36,35,71,8,10,259,4,10,11,1,0,103,18
Alex DeBrincat,CHI,RW,59,34,21,55,-12,15,194,5,12,11,0,0,76,25
David Pastrnak,BOS,RW,58,33,27,60,7,14,250,8,13,9,0,0,52,10
Connor McDavid,EDM,C,57,30,51,81,11,35,221,4,7,25,0,0,54,20
Kirill Kaprizov,MIN,LW,56,30,43,73,19,22,201,3,6,12,0,0,59,20
Gabriel Landeskog,COL,LW,51,30,29,59,27,78,150,5,7,8,0,0,94,34
Matt Duchene,NSH,C,53,29,25,54,9,18,153,5,12,6,0,0,17,20
Andrew Mangiapane,CGY,LW,57,29,14,43,18,26,138,7,7,2,2,1,51,23
Elias Lindholm,CGY,RW,57,29,32,61,45,12,162,6,7,8,1,1,45,33
Jason Robertson,DAL,LW,48,29,25,54,20,16,145,9,9,6,0,0,24,17
Jake Guentzel,PIT,LW,53,28,31,59,9,34,185,5,6,12,0,0,50,28
Troy Terry,ANH,C,55,28,21,49,-9,20,124,7,8,6,0,0,4,14
Filip Forsberg,NSH,RW,44,28,21,49,11,16,131,7,5,8,0,0,64,29
Steven Stamkos,TB,C,56,27,36,63,11,22,156,7,10,10,0,0,69,21
Mikko Rantanen,COL,RW,56,27,40,67,30,50,196,0,12,12,0,0,42,27
Dylan Larkin,DET,C,53,27,30,57,-2,37,160,4,5,7,0,0,45,19
Matthew Tkachuk,CGY,LW,57,27,39,66,36,48,181,4,10,10,0,0,65,14
Aleksander Barkov,FLA,C,45,26,33,59,25,8,149,3,9,8,4,0,39,30
Johnny Gaudreau,CGY,LW,57,26,51,77,44,22,187,7,3,13,0,0,7,6
Adrian Kempe,LA,C,56,25,11,36,-2,34,166,7,4,6,2,0,67,17
Sebastian Aho,CAR,LW,54,25,34,59,11,34,162,5,12,11,0,2,47,20
Timo Meier,SJ,LW,52,24,30,54,4,24,223,6,10,2,0,0,105,36
Sam Bennett,FLA,LW,48,24,12,36,16,49,169,6,5,3,0,1,88,18
Anthony Duclair,FLA,LW,50,24,21,45,20,10,105,4,7,9,0,0,25,14
Tyler Bertuzzi,DET,LW,50,24,24,48,4,39,126,5,4,6,1,1,43,28
Jonathan Marchessault,VGK,LW,54,24,21,45,-2,16,184,3,5,9,0,0,37,12
Clayton Keller,ARI,C,57,24,31,55,2,26,158,2,3,4,1,1,15,29
Pierre-Luc Dubois,WPG,C,58,23,22,45,-1,72,175,3,12,2,0,0,83,29
Tage Thompson,BUF,RW,55,23,19,42,-12,17,183,0,6,6,1,0,49,19
Andrei Svechnikov,CAR,RW,54,23,28,51,12,63,184,5,7,11,0,0,125,12
Tomas Hertl,SJ,LW,57,23,21,44,-9,20,153,5,3,8,0,0,78,34
Boone Jenner,CLS,LW,59,23,21,44,-11,22,160,3,8,2,0,0,80,56
J.T. Miller,VAN,C,57,23,46,69,7,39,134,5,6,24,0,1,128,40
Jeff Skinner,BUF,LW,57,23,18,41,-8,18,182,3,3,4,0,0,15,13
Brock Nelson,NYI,C,46,23,11,34,-2,31,114,3,6,3,0,0,24,30
Brad Marchand,BOS,LW,47,23,34,57,5,69,153,4,6,18,2,0,55,15
Ryan Hartman,MIN,RW,57,23,20,43,25,61,170,5,1,3,0,0,57,35
